params,mean_test_score,std_test_score,rank_test_score
"{'algorithm': 'auto', 'metric': 'manhattan', 'p': 2, 'weights': 'distance'}",0.606123561,5.82E-05,1
"{'algorithm': 'auto', 'metric': 'manhattan', 'p': 2, 'weights': 'uniform'}",0.606123561,5.82E-05,1
"{'algorithm': 'auto', 'metric': 'manhattan', 'p': 1, 'weights': 'distance'}",0.606123561,5.82E-05,1
"{'algorithm': 'auto', 'metric': 'manhattan', 'p': 1, 'weights': 'uniform'}",0.606123561,5.82E-05,1
"{'algorithm': 'auto', 'metric': 'minkowski', 'p': 1, 'weights': 'distance'}",0.606123561,5.82E-05,1
"{'algorithm': 'auto', 'metric': 'minkowski', 'p': 1, 'weights': 'uniform'}",0.606123561,5.82E-05,1
"{'algorithm': 'kd_tree', 'metric': 'manhattan', 'p': 1, 'weights': 'uniform'}",0.606123561,5.82E-05,1
"{'algorithm': 'kd_tree', 'metric': 'manhattan', 'p': 1, 'weights': 'distance'}",0.606123561,5.82E-05,1
"{'algorithm': 'kd_tree', 'metric': 'manhattan', 'p': 2, 'weights': 'distance'}",0.606123561,5.82E-05,1
"{'algorithm': 'kd_tree', 'metric': 'manhattan', 'p': 2, 'weights': 'uniform'}",0.606123561,5.82E-05,1
"{'algorithm': 'ball_tree', 'metric': 'minkowski', 'p': 1, 'weights': 'distance'}",0.606123561,5.82E-05,1
"{'algorithm': 'ball_tree', 'metric': 'minkowski', 'p': 1, 'weights': 'uniform'}",0.606123561,5.82E-05,1
"{'algorithm': 'ball_tree', 'metric': 'manhattan', 'p': 2, 'weights': 'distance'}",0.606123561,5.82E-05,1
"{'algorithm': 'ball_tree', 'metric': 'manhattan', 'p': 2, 'weights': 'uniform'}",0.606123561,5.82E-05,1
"{'algorithm': 'ball_tree', 'metric': 'manhattan', 'p': 1, 'weights': 'distance'}",0.606123561,5.82E-05,1
"{'algorithm': 'ball_tree', 'metric': 'manhattan', 'p': 1, 'weights': 'uniform'}",0.606123561,5.82E-05,1
"{'algorithm': 'brute', 'metric': 'manhattan', 'p': 1, 'weights': 'distance'}",0.606123561,5.82E-05,1
"{'algorithm': 'brute', 'metric': 'manhattan', 'p': 1, 'weights': 'uniform'}",0.606123561,5.82E-05,1
"{'algorithm': 'brute', 'metric': 'manhattan', 'p': 2, 'weights': 'uniform'}",0.606123561,5.82E-05,1
"{'algorithm': 'brute', 'metric': 'manhattan', 'p': 2, 'weights': 'distance'}",0.606123561,5.82E-05,1
"{'algorithm': 'brute', 'metric': 'minkowski', 'p': 1, 'weights': 'uniform'}",0.606123561,5.82E-05,1
"{'algorithm': 'brute', 'metric': 'minkowski', 'p': 1, 'weights': 'distance'}",0.606123561,5.82E-05,1
"{'algorithm': 'kd_tree', 'metric': 'minkowski', 'p': 1, 'weights': 'distance'}",0.606123561,5.82E-05,1
"{'algorithm': 'kd_tree', 'metric': 'minkowski', 'p': 1, 'weights': 'uniform'}",0.606123561,5.82E-05,1
"{'algorithm': 'auto', 'metric': 'euclidean', 'p': 2, 'weights': 'uniform'}",0.51153906,0.000846438,25
"{'algorithm': 'auto', 'metric': 'euclidean', 'p': 2, 'weights': 'distance'}",0.51153906,0.000846438,25
"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'p': 1, 'weights': 'distance'}",0.51153906,0.000846438,25
"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'p': 1, 'weights': 'uniform'}",0.51153906,0.000846438,25
"{'algorithm': 'auto', 'metric': 'minkowski', 'p': 2, 'weights': 'distance'}",0.51153906,0.000846438,25
"{'algorithm': 'auto', 'metric': 'minkowski', 'p': 2, 'weights': 'uniform'}",0.51153906,0.000846438,25
"{'algorithm': 'auto', 'metric': 'euclidean', 'p': 1, 'weights': 'distance'}",0.51153906,0.000846438,25
"{'algorithm': 'auto', 'metric': 'euclidean', 'p': 1, 'weights': 'uniform'}",0.51153906,0.000846438,25
"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'p': 2, 'weights': 'distance'}",0.51153906,0.000846438,25
"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'p': 2, 'weights': 'uniform'}",0.51153906,0.000846438,25
"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'p': 1, 'weights': 'uniform'}",0.51153906,0.000846438,25
"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'p': 1, 'weights': 'distance'}",0.51153906,0.000846438,25
"{'algorithm': 'ball_tree', 'metric': 'minkowski', 'p': 2, 'weights': 'uniform'}",0.51153906,0.000846438,25
"{'algorithm': 'ball_tree', 'metric': 'minkowski', 'p': 2, 'weights': 'distance'}",0.51153906,0.000846438,25
"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'p': 2, 'weights': 'uniform'}",0.51153906,0.000846438,25
"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'p': 2, 'weights': 'distance'}",0.51153906,0.000846438,25
"{'algorithm': 'brute', 'metric': 'euclidean', 'p': 2, 'weights': 'distance'}",0.51153906,0.000846438,25
"{'algorithm': 'brute', 'metric': 'euclidean', 'p': 2, 'weights': 'uniform'}",0.51153906,0.000846438,25
"{'algorithm': 'brute', 'metric': 'euclidean', 'p': 1, 'weights': 'distance'}",0.51153906,0.000846438,25
"{'algorithm': 'brute', 'metric': 'euclidean', 'p': 1, 'weights': 'uniform'}",0.51153906,0.000846438,25
"{'algorithm': 'kd_tree', 'metric': 'minkowski', 'p': 2, 'weights': 'distance'}",0.51153906,0.000846438,25
"{'algorithm': 'kd_tree', 'metric': 'minkowski', 'p': 2, 'weights': 'uniform'}",0.51153906,0.000846438,25
"{'algorithm': 'brute', 'metric': 'minkowski', 'p': 2, 'weights': 'uniform'}",0.51153906,0.000846438,25
"{'algorithm': 'brute', 'metric': 'minkowski', 'p': 2, 'weights': 'distance'}",0.51153906,0.000846438,25
